epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.839,1.3025,3.59573,3.19045,1.49137,0,0.01074,0.95,0.30073,0.21785,0.01074,0.95,0.29122,0.17499,0.62139,1.44378,2.75046,0.92688,0,0.00031673,0.00031673,0.00031673
2,26.1899,1.02878,2.06501,2.90218,1.18189,0,0.01003,0.9,0.39078,0.24567,0.01003,0.9,0.39109,0.24073,0.78594,1.60939,2.8764,1.07562,0,0.000643694,0.000643694,0.000643694
3,29.1481,0.98644,1.84306,2.62274,1.19789,0,0.00988,0.9,0.43412,0.24183,0.00958,0.87826,0.42358,0.24331,1.05639,2.34224,2.80902,1.36513,0,0.000964056,0.000964056,0.000964056
4,31.9526,1.03813,1.94256,2.43741,1.21843,0,1,0.08721,0.40991,0.2594,1,0.08721,0.43168,0.21555,1.06588,2.82221,2.56432,1.39945,0,0.00127782,0.00127782,0.00127782
5,34.8011,1.06058,1.96611,2.29984,1.22306,0,0.34638,0.29438,0.42287,0.27045,0.34113,0.28261,0.39235,0.20646,1.04373,3.52386,2.12568,1.24878,0,0.00158498,0.00158498,0.00158498
6,37.6196,1.17196,2.06791,2.22706,1.27867,0,0.2258,0.4913,0.35746,0.22425,0.22284,0.51957,0.32584,0.13942,1.21687,3.45072,2.03609,1.26614,0,0.00158448,0.00158448,0.00158448
7,40.3643,1.23466,1.98461,2.24808,1.33887,0,0.89252,0.21739,0.34923,0.234,0.16478,0.32609,0.25823,0.15159,1.14963,2.44349,2.53886,1.3281,0,0.00156798,0.00156798,0.00156798
8,43.2217,1.14666,1.87268,2.05204,1.28368,0,0.26914,0.4413,0.4,0.22121,0.2554,0.4913,0.37579,0.21764,1.34828,1.79837,2.67145,1.52222,0,0.00155148,0.00155148,0.00155148
9,46.0135,1.03624,1.76513,1.94779,1.24494,0,0.24787,0.61304,0.38387,0.27932,0.25848,0.6413,0.38488,0.25407,0.9552,1.96318,2.93833,1.29279,0,0.00153497,0.00153497,0.00153497
10,48.8232,1.07916,1.85988,1.96126,1.25683,0,0.43874,0.63478,0.54059,0.36821,0.41312,0.73478,0.55704,0.37876,0.98411,1.49666,3.20799,1.23542,0,0.00151847,0.00151847,0.00151847
11,51.5935,1.02892,1.66816,1.81202,1.24984,0,0.38568,0.57826,0.53288,0.35043,0.38568,0.57826,0.53101,0.34835,0.93893,1.61352,4.03699,1.17657,0,0.00150197,0.00150197,0.00150197
12,54.3474,0.97058,1.48622,1.71519,1.15774,0,0.5084,0.54975,0.5182,0.37066,0.48647,0.62826,0.53349,0.35031,0.80857,2.27403,3.76838,1.10395,0,0.00148546,0.00148546,0.00148546
13,57.111,1.01526,1.70063,1.82359,1.21139,0,0.51244,0.53478,0.53212,0.40359,0.4745,0.56304,0.54946,0.33333,0.91684,2.80154,2.23988,1.17802,0,0.00146896,0.00146896,0.00146896
14,59.8911,0.98883,1.54623,1.73564,1.19039,0,0.59233,0.66957,0.55286,0.38579,0.59233,0.66957,0.53714,0.32838,1.0035,2.30875,2.21531,1.23562,0,0.00145246,0.00145246,0.00145246
