epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,56.726,1.49663,2.67519,2.04133,1.31653,0,0.52374,0.41307,0.38954,0.22434,0.45184,0.36567,0.31263,0.182,1.63061,3.41389,1.92661,1.38713,0,0.000664804,0.000664804,0.000664804
2,108.349,1.56334,2.5761,1.73998,1.36277,0,0.39138,0.38071,0.30872,0.1769,0.36986,0.3209,0.25445,0.13677,1.68298,2.83715,2.0177,1.47082,0,0.00132488,0.00132488,0.00132488
3,160.204,1.54007,2.57681,1.68038,1.3387,0,0.51183,0.50249,0.44814,0.26213,0.4508,0.46766,0.36396,0.21697,1.49185,2.74134,1.72629,1.37343,0,0.00197836,0.00197836,0.00197836
4,212.881,1.49126,2.458,1.63094,1.32868,0,0.5622,0.37065,0.41314,0.24579,0.52517,0.35075,0.35481,0.20884,1.53182,3.16732,1.74618,1.36993,0,0.0019703,0.0019703,0.0019703
5,265.641,1.42863,2.37572,1.54474,1.29783,0,0.48534,0.50995,0.41424,0.2545,0.47004,0.46766,0.36298,0.20362,1.44939,2.49365,1.68208,1.31115,0,0.0019604,0.0019604,0.0019604
6,319.251,1.37378,2.36642,1.40131,1.2568,0,0.60049,0.47761,0.47725,0.30175,0.56692,0.43035,0.4094,0.23442,1.49297,2.7104,1.68568,1.35778,0,0.0019505,0.0019505,0.0019505
7,371.878,1.3648,2.30634,1.40578,1.25467,0,0.57359,0.50498,0.51459,0.32664,0.49531,0.49751,0.43529,0.26048,1.38041,2.55448,1.44992,1.3029,0,0.0019406,0.0019406,0.0019406
8,425.831,1.31466,2.21007,1.34515,1.2325,0,0.63694,0.42786,0.47329,0.30292,0.60947,0.41045,0.43098,0.26477,1.496,2.56016,1.55977,1.32064,0,0.0019307,0.0019307,0.0019307
9,480.589,1.26962,2.12826,1.28046,1.17972,0,0.51316,0.57686,0.48219,0.30771,0.47589,0.50249,0.38696,0.23336,1.3223,2.46351,1.52384,1.23812,0,0.0019208,0.0019208,0.0019208
10,534.54,1.27204,2.11921,1.27921,1.20061,0,0.60195,0.54975,0.55222,0.37076,0.54032,0.49999,0.47287,0.29975,1.31749,2.44597,1.38062,1.21856,0,0.0019109,0.0019109,0.0019109
11,588.917,1.22796,2.04109,1.2218,1.16683,0,0.65441,0.5199,0.556,0.35622,0.63903,0.46766,0.47805,0.28993,1.30422,2.27102,1.42499,1.23356,0,0.001901,0.001901,0.001901
12,642.417,1.23312,2.03881,1.27142,1.17423,0,0.56701,0.49188,0.49208,0.31935,0.54959,0.46517,0.43816,0.27059,1.37675,2.57087,1.57427,1.28538,0,0.0018911,0.0018911,0.0018911
13,694.849,1.22169,2.06717,1.21465,1.16852,0,0.49502,0.56219,0.48228,0.31484,0.4608,0.47015,0.38739,0.24863,1.23167,2.27757,1.47469,1.20778,0,0.0018812,0.0018812,0.0018812
14,747.128,1.18937,1.98784,1.19158,1.14089,0,0.65534,0.52028,0.57556,0.36481,0.5878,0.45771,0.47727,0.28622,1.27161,2.53533,1.39501,1.23494,0,0.0018713,0.0018713,0.0018713
15,799.767,1.18863,2.01151,1.15199,1.14837,0,0.63041,0.52736,0.54485,0.35446,0.63702,0.45402,0.46097,0.28736,1.29328,2.31321,1.42029,1.21411,0,0.0018614,0.0018614,0.0018614
16,851.695,1.15575,1.95937,1.13579,1.14531,0,0.66464,0.49301,0.52572,0.35329,0.65819,0.45771,0.46888,0.31113,1.27307,2.30863,1.42003,1.21649,0,0.0018515,0.0018515,0.0018515
17,903.702,1.19149,1.97546,1.13934,1.14452,0,0.66042,0.52488,0.5844,0.36341,0.65663,0.46619,0.50585,0.32288,1.3064,2.3956,1.35188,1.22149,0,0.0018416,0.0018416,0.0018416
18,957.468,1.14665,1.94908,1.09869,1.13521,0,0.65861,0.56716,0.60695,0.39962,0.60807,0.51493,0.53112,0.31856,1.20962,2.24189,1.27799,1.17544,0,0.0018317,0.0018317,0.0018317
19,1009.99,1.12584,1.9341,1.11319,1.12416,0,0.63156,0.54726,0.59311,0.39109,0.65485,0.46269,0.50458,0.32763,1.2036,2.26641,1.3349,1.17671,0,0.0018218,0.0018218,0.0018218
20,1061.98,1.11033,1.87092,1.05952,1.10869,0,0.72376,0.54726,0.64157,0.42931,0.63929,0.51582,0.56302,0.35061,1.19163,2.137,1.10841,1.1471,0,0.0018119,0.0018119,0.0018119
21,1114.29,1.08169,1.80285,1.03489,1.08491,0,0.57977,0.59204,0.59678,0.39647,0.65164,0.45601,0.49834,0.32478,1.23799,2.36121,1.26179,1.18543,0,0.001802,0.001802,0.001802
